score;highest tile;number of moves;time per move
18432; 1024; 989; 0.004237 
12676; 1024; 745; 0.275872 
19456; 1024; 1132; 0.005184 
8908; 512; 611; 0.004451 
5808; 512; 405; 0.004420 
13228; 1024; 791; 0.004327 
15192; 1024; 900; 0.004218 
31856; 2048; 1627; 0.004879 
16228; 1024; 960; 0.004274 
