score;highest tile;number of moves;time per move
5868; 512; 422; 0 
8224; 512; 577; 0 
11952; 1024; 693; 0 
13896; 1024; 798; 0 
7488; 512; 523; 0 
16352; 1024; 978; 0 
16128; 1024; 949; 0 
7284; 512; 504; 0 
7308; 512; 509; 0 
4388; 256; 370; 0 
