score;highest tile;number of moves;time per move
33688; 2048; 1718; 0.211932
16488; 1024; 980; 0.037214
5640; 256; 434; 0.010219
7440; 512; 522; 0.009887
16236; 1024; 970; 0.032619
36772; 2048; 1932; 0.220526
32576; 2048; 1690; 0.178840
16788; 1024; 973; 0.042538
7368; 512; 509; 0.010288
23584; 2048; 1219; 0.126630
